"Time","Initiator","Event Stage","Event Type","Target","Target owner","Channel","Outcome"
"2018-11-02T10:58:47.323+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@679027ae[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","CREATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-11-02T10:56:10.704+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@238a5951[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","CREATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-11-02T10:00:20.979+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@4fa0df6e[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","TERMINATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-11-02T09:54:44.576+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@2e76deb5[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@483d2182[_referenceValue=PRV(oid=62e78469-6b58-4dbf-a466-9375a23fa5fc, targetType={.../common/common-3}UserType, targetName=Testikayttaja)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-11-02T09:54:43.476+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@390ca905[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@709e4ae5[_referenceValue=PRV(oid=62e78469-6b58-4dbf-a466-9375a23fa5fc, targetType={.../common/common-3}UserType, targetName=Testikayttaja)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-11-02T09:53:14.665+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@6885b135[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@4995ac96[_referenceValue=PRV(oid=62e78469-6b58-4dbf-a466-9375a23fa5fc, targetType={.../common/common-3}UserType, targetName=Testikayttaja)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-11-02T09:53:13.755+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@150d7020[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@1746d906[_referenceValue=PRV(oid=62e78469-6b58-4dbf-a466-9375a23fa5fc, targetType={.../common/common-3}UserType, targetName=Testikayttaja)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-11-02T09:52:56.487+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@528fdec2[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","ADD_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@361a3919[_referenceValue=PRV(oid=62e78469-6b58-4dbf-a466-9375a23fa5fc, targetType={.../common/common-3}UserType, targetName=Testikayttaja)]",,"http://midpoint.evolveum.com/xml/ns/public/provisioning/channels-3#import","SUCCESS"
"2018-11-02T09:52:55.753+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@48e8c38a[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","ADD_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@69c7ad78[_referenceValue=PRV(oid=62e78469-6b58-4dbf-a466-9375a23fa5fc, targetType={.../common/common-3}UserType, targetName=Testikayttaja)]",,"http://midpoint.evolveum.com/xml/ns/public/provisioning/channels-3#import","UNKNOWN"
"2018-11-02T09:52:42.153+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@4592074c[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","CREATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
