"Time","Initiator","Event Stage","Event Type","Target","Target owner","Channel","Outcome"
"2018-11-02T10:58:47.323+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@5d778e08[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","CREATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-11-02T10:56:10.704+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@1102a9d9[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","CREATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-11-02T10:00:20.979+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@24e6aac2[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","TERMINATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-11-02T09:54:44.576+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@77028356[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@16644470[_referenceValue=PRV(oid=62e78469-6b58-4dbf-a466-9375a23fa5fc, targetType={.../common/common-3}UserType, targetName=Testikayttaja)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-11-02T09:54:43.476+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@12ac6b04[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@38d7329[_referenceValue=PRV(oid=62e78469-6b58-4dbf-a466-9375a23fa5fc, targetType={.../common/common-3}UserType, targetName=Testikayttaja)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-11-02T09:53:14.665+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@60f6583d[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@5485d797[_referenceValue=PRV(oid=62e78469-6b58-4dbf-a466-9375a23fa5fc, targetType={.../common/common-3}UserType, targetName=Testikayttaja)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-11-02T09:53:13.755+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@25806248[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@4dfc59ea[_referenceValue=PRV(oid=62e78469-6b58-4dbf-a466-9375a23fa5fc, targetType={.../common/common-3}UserType, targetName=Testikayttaja)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-11-02T09:52:56.487+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@1f19c7d8[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","ADD_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@655a92c3[_referenceValue=PRV(oid=62e78469-6b58-4dbf-a466-9375a23fa5fc, targetType={.../common/common-3}UserType, targetName=Testikayttaja)]",,"http://midpoint.evolveum.com/xml/ns/public/provisioning/channels-3#import","SUCCESS"
"2018-11-02T09:52:55.753+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@436e2e02[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","ADD_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@6c720c8c[_referenceValue=PRV(oid=62e78469-6b58-4dbf-a466-9375a23fa5fc, targetType={.../common/common-3}UserType, targetName=Testikayttaja)]",,"http://midpoint.evolveum.com/xml/ns/public/provisioning/channels-3#import","UNKNOWN"
"2018-11-02T09:52:42.153+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@3d8431dd[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","CREATE_SESSION",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
